,Address,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
51,"5312 Tennington Park, Dallas, TX 75287",3.5,5.0,900000.0,4429.0,75287
52,"7708 Royal Ln #205, Dallas, TX 75230",2.0,2.0,145000.0,1161.0,75230
53,"1543 Serenade Ln, Dallas, TX 75241",2.0,3.0,199000.0,1781.0,75241
54,"7307 Kaywood Dr, Dallas, TX 75209",1.0,2.0,425000.0,1013.0,75209
55,"5818 E University Blvd #130, Dallas, TX 75206",2.0,2.0,195000.0,945.0,75206
56,"1407 Glenfield Ave, Dallas, TX 75224",2.0,2.0,325000.0,1836.0,75224
57,"4031 Holland Ave Unit G, Dallas, TX 75219",1.0,1.0,232500.0,800.0,75219
58,"3609 Patience Blvd, Dallas, TX 75236",2.0,4.0,324990.0,2067.0,75236
59,"2210 Tosca Ln, Dallas, TX 75224",2.0,3.0,245000.0,2048.0,75224
60,"9963 Constance St, Dallas, TX 75220",2.0,3.0,250000.0,1355.0,75220
61,"3812 Belton Dr, Dallas, TX 75287",2.5,3.0,395000.0,2275.0,75287
62,"12830 Midway Rd #2127, Dallas, TX 75244",1.5,1.0,135000.0,732.0,75244
63,"5120 Tremont St, Dallas, TX 75214",4.5,4.0,950000.0,3810.0,75214
64,"9752 Burney Dr, Dallas, TX 75243",2.5,3.0,379900.0,2409.0,75243
65,"7417 Silverthorn Dr, Rowlett, TX 75089",2.0,3.0,295000.0,2194.0,75089
66,"13219 Emily Rd #4211, Dallas, TX 75240",1.0,1.0,136900.0,839.0,75240
67,"5227 Homer St, Dallas, TX 75206",2.0,3.0,599750.0,2150.0,75206
68,"9703 Robin Hill Cir, Dallas, TX 75238",2.5,3.0,475000.0,1889.0,75238
69,"6404 Everglade Rd, Dallas, TX 75227",2.0,3.0,260000.0,1835.0,75227
70,"1916 Lake Front Trl, Garland, TX 75043",4.0,5.0,389000.0,3148.0,75043
71,"2630 Calvin St #101, Dallas, TX 75204",2.5,2.0,425000.0,1817.0,75204
72,"11311 Goddard Ct, Dallas, TX 75218",2.5,3.0,549000.0,3434.0,75218
73,"4017 Buena Vista St #104, Dallas, TX 75204",2.5,2.0,360000.0,1183.0,75204
74,"3511 Dickason Ave #2, Dallas, TX 75219",2.5,2.0,435000.0,2201.0,75219
75,"6406 La Manga Dr, Dallas, TX 75248",3.0,4.0,659500.0,2600.0,75248
76,"3030 Bryan St #205, Dallas, TX 75204",1.5,1.0,360000.0,1313.0,75204
77,"5917 Hollis Ave, Dallas, TX 75227",1.0,2.0,190000.0,985.0,75227
78,"4318 Vandelia St, Dallas, TX 75219",2.0,2.0,600000.0,1749.0,75219
79,"7118 Winding Creek Rd, Dallas, TX 75252",3.5,5.0,829900.0,4141.0,75252
80,"3915 Buena Vista St Unit B, Dallas, TX 75204",1.5,2.0,289000.0,1053.0,75204
81,"7410 Wild Valley Dr, Dallas, TX 75231",2.0,2.0,379000.0,1479.0,75231
82,"12532 Treyburn Dr, Fort Worth, TX 76244",2.5,4.0,434900.0,2775.0,76244
83,"4509 Tacoma Ter, Fort Worth, TX 76123",2.0,3.0,239900.0,1863.0,76123
84,"7517 Acapulco Rd, Fort Worth, TX 76112",2.0,3.0,175000.0,1271.0,76112
85,"4621 Prickly Pear Dr, Fort Worth, TX 76244",2.5,3.0,279900.0,2287.0,76244
86,"4445 Rolling Hills Dr, Fort Worth, TX 76119",3.5,5.0,899000.0,3516.0,76119
87,"7800 Hidden Gate Ct, Fort Worth, TX 76120",2.0,3.0,230000.0,1654.0,76120
88,"10261 Brea Canyon Rd, Fort Worth, TX 76108",2.0,3.0,220000.0,1825.0,76108
89,"6028 Bear Creek Dr E, Fort Worth, TX 76126",2.0,3.0,194900.0,1168.0,76126
90,"5109 Mountain Spring Trl, Fort Worth, TX 76123",1.0,2.0,150000.0,1058.0,76123
91,"3721 Verde Dr, Fort Worth, TX 76244",2.0,4.0,268000.0,2150.0,76244
92,"602 Creekside Dr, Euless, TX 76040",2.5,3.0,269000.0,2044.0,76040
93,"7116 Culver Ave, Fort Worth, TX 76116",2.0,3.0,249900.0,1914.0,76116
94,"1328 Nicole Way, Fort Worth, TX 76028",3.0,4.0,235000.0,1920.0,76028
95,"10261 Sunset View Dr, Fort Worth, TX 76108",2.0,3.0,225000.0,1680.0,76108
96,"2916 Patino Rd, Fort Worth, TX 76112",3.0,5.0,285000.0,2760.0,76112
97,"829 San Miguel Trl, Fort Worth, TX 76052",2.0,3.0,250000.0,1537.0,76052
98,"4133 Wilderness Pass, Fort Worth, TX 76262",2.0,3.0,410000.0,2153.0,76262
99,"340 Amethyst Dr, Fort Worth, TX 76131",2.0,3.0,249000.0,1659.0,76131
100,"8510 Fairway Dr, Fort Worth, TX 76179",3.0,4.0,375000.0,2514.0,76179
101,"5625 Woodway Dr, Fort Worth, TX 76133",2.0,3.0,245000.0,1952.0,76133
102,"4129 Broken Bend Blvd, Fort Worth, TX 76244",2.0,3.0,299000.0,2088.0,76244
103,"301 Frontier St, River Oaks, TX 76114",2.5,6.0,359000.0,3901.0,76114
104,"2916 27th St, Fort Worth, TX 76106",2.0,3.0,189500.0,1371.0,76106
105,"3012 Creekwood Ln, Fort Worth, TX 76123",2.0,3.0,200000.0,1355.0,76123
106,"5409 Crater Lake Dr, Fort Worth, TX 76137",2.5,5.0,325000.0,2538.0,76137
107,"9145 Winding River Dr, Fort Worth, TX 76118",2.0,3.0,289000.0,1713.0,76118
108,"5621 Fursman Ave, Fort Worth, TX 76114",2.0,4.0,269000.0,1608.0,76114
109,"6400 New Harbor Ln, Fort Worth, TX 76179",2.0,3.0,220000.0,1612.0,76179
110,"3944 Esker Dr, Fort Worth, TX 76137",2.0,3.0,320000.0,2057.0,76137
111,"6725 Cambrian Way, Fort Worth, TX 76137",2.0,3.0,255000.0,1861.0,76137
112,"625 Blue Lake Dr, Fort Worth, TX 76103",2.0,5.0,309999.0,2484.0,76103
113,"3433 W 6th St, Fort Worth, TX 76107",2.5,3.0,389900.0,1948.0,76107
114,"11833 Tuscarora Dr, Fort Worth, TX 76108",2.0,3.0,275000.0,2029.0,76108
115,"3700 Hulen Park Dr, Fort Worth, TX 76109",2.5,2.0,299900.0,2000.0,76109
116,"8808 Holt St, Lakeside, TX 76135",2.0,3.0,250000.0,1607.0,76135
117,"10445 Hideaway Trl, Fort Worth, TX 76131",2.0,3.0,217500.0,1545.0,76131
118,"9113 Nightingale Dr, Fort Worth, TX 76123",2.0,3.0,215500.0,1790.0,76123
119,"2524 Crofoot Trl, Haslet, TX 76052",2.0,4.0,400000.0,2256.0,76052
120,"2721 Los Alamos Trl, Fort Worth, TX 76131",2.0,4.0,339999.0,2326.0,76131
121,"3716 Misty Meadow Dr, Fort Worth, TX 76133",2.5,3.0,203000.0,1654.0,76133
122,"7916 Rogue River Trl, Fort Worth, TX 76137",2.5,5.0,310000.0,2602.0,76137
123,"7400 Hamner Ln, Plano, TX 75024",3.5,4.0,489000.0,3456.0,75024
124,"2205 London Dr, Plano, TX 75025",2.5,4.0,309900.0,2081.0,75025
125,"4005 Bonita Dr, Plano, TX 75024",2.0,3.0,314500.0,1805.0,75024
126,"3804 Shumard Oak Dr, Plano, TX 75074",2.5,3.0,340000.0,1846.0,75074
127,"4425 Buchanan Dr, Plano, TX 75024",3.0,4.0,450000.0,2996.0,75024
128,"1724 Westlake Dr, Plano, TX 75075",3.0,4.0,455000.0,2437.0,75075
129,"6721 Norway Ct, Plano, TX 75023",2.0,3.0,285000.0,1636.0,75023
130,"548 Shoreline St, Plano, TX 75075",3.5,3.0,599999.0,2542.0,75075
131,"3039 Montego Pl, Plano, TX 75023",3.5,4.0,412000.0,2844.0,75023
132,"2524 Alexa Ct, Plano, TX 75075",3.5,5.0,485000.0,3724.0,75075
133,"3604 Whiffletree Dr, Plano, TX 75023",2.0,4.0,375000.0,2535.0,75023
134,"4300 Foxtail Ln, Plano, TX 75024",3.0,4.0,440000.0,3376.0,75024
135,"2020 Liverpool Dr, Plano, TX 75025",2.0,3.0,325000.0,1966.0,75025
136,"2405 Bengal Ln, Plano, TX 75023",2.0,3.0,295000.0,1798.0,75023
137,"4106 San Mateo Dr, Plano, TX 75093",2.0,3.0,257000.0,1590.0,75093
138,"2044 Colborne Dr, Plano, TX 75025",2.5,3.0,344900.0,2362.0,75025
139,"5953 Mcfarland Dr, Plano, TX 75093",3.5,4.0,725000.0,4731.0,75093
140,"2508 Glenhaven Dr, Plano, TX 75023",2.5,4.0,340000.0,2119.0,75023
141,"3532 Duval Dr, Plano, TX 75025",3.0,5.0,405000.0,3160.0,75025
142,"2408 Plentywood Dr, Plano, TX 75025",2.5,5.0,399900.0,2623.0,75025
143,"3604 Tumbril Ln, Plano, TX 75023",2.5,4.0,409900.0,2631.0,75023
144,"7307 Bryers Cir, Plano, TX 75025",3.5,5.0,549900.0,3927.0,75025
145,"7821 Aqua Vista Dr, Plano, TX 75025",2.0,4.0,355000.0,2533.0,75025
146,"2333 Wooten Pl, Plano, TX 75025",2.5,4.0,339900.0,2098.0,75025
147,"2305 Molly Ln, Plano, TX 75074",2.5,3.0,298000.0,1629.0,75074
148,"2013 Sandpiper Cir, Plano, TX 75075",3.0,4.0,450000.0,2792.0,75075
149,"2920 Cranston Pl, Plano, TX 75025",1.5,2.0,245000.0,1346.0,75025
150,"5816 Johns Wood Dr, Plano, TX 75093",4.5,4.0,650000.0,3614.0,75093
151,"7938 Bishop Rd, Plano, TX 75024",3.5,3.0,400000.0,2112.0,75024
152,"7901 Mulchin Way S, Plano, TX 75024",2.0,3.0,340000.0,1729.0,75024
153,"7213 Fair Valley Way, Plano, TX 75024",2.5,4.0,400000.0,3068.0,75024
154,"6220 Walling Ln, Plano, TX 75093",3.5,5.0,599000.0,4006.0,75093
155,"9004 Azinger Dr, Plano, TX 75025",2.0,3.0,325000.0,2039.0,75025
156,"901 Brookville Ct, Plano, TX 75074",3.5,4.0,340000.0,2079.0,75074
157,"4504 Crown Ridge Dr, Plano, TX 75024",3.0,4.0,485000.0,3081.0,75024
158,"1708 Lake Shore Ln, Plano, TX 75023",2.5,4.0,445000.0,2568.0,75023
159,"3633 Legendary Ln, Plano, TX 75023",2.0,4.0,409000.0,2167.0,75023
160,"3624 Oakcrest Dr, Plano, TX 75025",3.5,5.0,540000.0,3732.0,75025
161,"7112 Chandler Dr, Plano, TX 75024",3.0,4.0,400000.0,3010.0,75024
162,"2717 Winfield Dr, Plano, TX 75023",2.5,4.0,290000.0,2099.0,75023
163,"9301 Warm Springs Cir, Plano, TX 75024",3.0,3.0,429900.0,2681.0,75024
164,"5727 Vandalia Trl, Arlington, TX 76017",2.0,3.0,220000.0,1460.0,76017
165,"2806 Marquis Cir E, Arlington, TX 76016",3.5,5.0,450000.0,3805.0,76016
166,"7706 White Fawn Rd, Arlington, TX 76002",2.0,4.0,324990.0,2245.0,76002
167,"1405 Mount Evans Trl, Arlington, TX 76005",2.0,3.0,365000.0,1796.0,76005
168,"924 Dunkirk Ln, Arlington, TX 76017",3.5,5.0,315000.0,3171.0,76017
169,"4718 Raspberry Spar Ct, Arlington, TX 76005",2.5,3.0,439000.0,2227.0,76005
170,"1115 Prairie Ridge Ln, Arlington, TX 76005",3.5,3.0,518500.0,3278.0,76005
171,"6030 Paradise Dr, Arlington, TX 76001",2.0,3.0,278000.0,1811.0,76001
172,"824 Carrington Dr, Arlington, TX 76001",2.0,3.0,224800.0,1436.0,76001
173,"2310 Pennington Dr, Arlington, TX 76014",2.0,4.0,245000.0,2154.0,76014
174,"2509 Engleford Dr, Arlington, TX 76015",2.0,3.0,210000.0,1718.0,76015
175,"204 S Davis Dr, Arlington, TX 76013",1.0,2.0,175000.0,1488.0,76013
176,"412 Pebble Way #250, Arlington, TX 76006",1.0,2.0,139900.0,896.0,76006
177,"1908 Caddo Village Rd, Arlington, TX 76001",2.5,4.0,330000.0,2633.0,76001
178,"4417 Indigo Lark Ln, Arlington, TX 76005",2.0,3.0,359000.0,1702.0,76005
179,"1011 Eric Ave, Arlington, TX 76012",2.0,3.0,199900.0,1449.0,76012
180,"4016 Shady Forge Trl, Arlington, TX 76005",3.5,3.0,525000.0,3278.0,76005
181,"1408 Ravenwood Dr, Arlington, TX 76013",1.5,3.0,185000.0,1215.0,76013
182,"7210 Lake Mead Blvd, Arlington, TX 76016",3.0,5.0,425000.0,3109.0,76016
183,"6806 Capitol Hill Dr, Arlington, TX 76017",3.0,5.0,335000.0,2984.0,76017
184,"6103 Brookfall Dr, Arlington, TX 76018",2.0,4.0,249900.0,1901.0,76018
185,"5401 Oak Springs Dr, Arlington, TX 76016",2.5,3.0,265000.0,2642.0,76016
186,"6920 Marina Shores Ct, Arlington, TX 76016",3.0,4.0,379000.0,2756.0,76016
187,"5524 Hunterwood Ln, Arlington, TX 76017",3.5,4.0,615000.0,3444.0,76017
188,"2105 Inverness Dr, Arlington, TX 76012",3.0,4.0,314995.0,3339.0,76012
189,"214 Matlock Meadow Dr, Arlington, TX 76002",2.5,4.0,335000.0,4085.0,76002
190,"1707 E Park Row Dr, Arlington, TX 76010",1.0,3.0,219999.0,937.0,76010
191,"1704 Baird Farm Cir #4210, Arlington, TX 76006",2.0,2.0,135000.0,1028.0,76006
192,"1409 Roanoke St, Arlington, TX 76014",2.0,4.0,219900.0,1279.0,76014
193,"4710 Beaver Creek Dr, Arlington, TX 76005",3.0,3.0,594990.0,2977.0,76005
194,"1511 Silver Marten Trl, Arlington, TX 76005",3.0,4.0,540695.0,2575.0,76005
195,"4031 Jasmine Fox Ln, Arlington, TX 76005",3.5,4.0,500000.0,2969.0,76005
196,"1901 Shorecrest Cir, Arlington, TX 76010",2.0,3.0,250000.0,2187.0,76010
197,"5300 Dunbarton Ct, Arlington, TX 76060",3.5,5.0,550000.0,4070.0,76060
198,"1007 Belemeade St, Arlington, TX 76014",2.0,3.0,190000.0,1232.0,76014
199,"309 Valley Spring Dr, Arlington, TX 76018",2.0,3.0,214900.0,1432.0,76018
200,"4201 Cascade Sky Dr, Arlington, TX 76005",2.5,3.0,325000.0,2037.0,76005
201,"806 Lynnfield Dr, Arlington, TX 76014",2.0,3.0,220000.0,1659.0,76014
202,"2105 Count Fleet Dr #213, Arlington, TX 76011",1.0,1.0,115000.0,750.0,76011
203,"2202 Prestonwood Dr, Arlington, TX 76012",3.0,4.0,419900.0,2981.0,76012
204,"6115 Castle Creek Rd, Arlington, TX 76017",2.0,3.0,265000.0,1987.0,76017
205,"7335 Meler Ln, Irving, TX 75063",4.0,4.0,650000.0,3527.0,75063
206,"3576 Hathaway Ct, Irving, TX 75062",3.5,4.0,475000.0,2636.0,75062
207,"3343 Ricci Ln, Irving, TX 75062",2.5,4.0,429900.0,2798.0,75062
208,"132 Lavaca Dr, Irving, TX 75039",3.5,4.0,519900.0,3685.0,75039
209,"1204 Churchill Dr, Irving, TX 75060",2.0,3.0,319990.0,1647.0,75060
210,"305 Cosbie Dr, Irving, TX 75063",2.0,3.0,345000.0,2020.0,75063
211,"3901 Timberidge Dr, Irving, TX 75038",2.0,3.0,260000.0,1978.0,75038
212,"9901 Cliffside Ct, Irving, TX 75063",3.5,5.0,480000.0,3124.0,75063
213,"2500 William Brewster Dr, Irving, TX 75062",2.0,3.0,209900.0,1302.0,75062
214,"6411 Las Colinas Blvd, Irving, TX 75039",3.0,3.0,385000.0,2461.0,75039
215,"201 Cimarron Trl #1, Irving, TX 75063",2.0,3.0,209000.0,1653.0,75063
