,Address,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
284,"832 Lake Carillon Ln, Southlake, TX 76092",4.5,4.0,1300000.0,5015.0,76092
285,"4509 Saddleback Ln, Southlake, TX 76092",2.0,2.0,650000.0,1000.0,76092
286,"610 Logans Ln, Southlake, TX 76092",3.5,4.0,825000.0,4469.0,76092
287,"7016 Cotton Seed Dr, McKinney, TX 75070",3.5,5.0,325000.0,3168.0,75070
288,"10416 Matador Dr, McKinney, TX 75072",3.0,4.0,375000.0,3052.0,75072
289,"5745 Wilford Dr, McKinney, TX 75070",2.0,3.0,329900.0,2035.0,75070
290,"8817 Stenson St, McKinney, TX 75070",2.5,4.0,400000.0,2038.0,75070
291,"7721 Harvest Hill Ln, McKinney, TX 75071",3.5,4.0,529999.0,3413.0,75071
292,"4701 Wallace St, McKinney, TX 75070",3.0,4.0,475000.0,3250.0,75070
293,"3816 Smoke Tree Ln, McKinney, TX 75070",2.5,4.0,359900.0,2943.0,75070
294,"5712 Fox Chase Ln, McKinney, TX 75071",2.0,4.0,335000.0,2051.0,75071
295,"2218 Brookview Dr, McKinney, TX 75072",2.0,2.0,237500.0,950.0,75072
296,"7917 Caddo Cv, McKinney, TX 75071",4.0,4.0,519900.0,3305.0,75071
297,"4116 Plymouth Dr, McKinney, TX 75070",3.5,4.0,399000.0,3041.0,75070
298,"4510 Cedar Crest Dr, McKinney, TX 75070",2.5,4.0,325000.0,2599.0,75070
299,"2644 Fairway Ridge Dr, McKinney, TX 75072",2.0,4.0,339900.0,2348.0,75072
300,"3075 Willow Grove Blvd #2704, McKinney, TX 75070",2.5,3.0,334900.0,1703.0,75070
301,"1111 Wedge Hill Rd, McKinney, TX 75072",3.0,4.0,404900.0,3186.0,75072
302,"3612 Crestcreek Ct, McKinney, TX 75071",2.5,4.0,325000.0,2492.0,75071
303,"5504 Amphora Ave, McKinney, TX 75070",2.5,3.0,405000.0,2408.0,75070
304,"10421 Canyon Lake Vw, McKinney, TX 75072",3.0,4.0,395000.0,3286.0,75072
305,"4501 Knightsbridge Dr, McKinney, TX 75072",4.0,5.0,1150000.0,5492.0,75072
306,"10809 Sexton Dr, McKinney, TX 75072",4.0,5.0,499999.0,3631.0,75072
307,"5929 Cranbrook Ln, McKinney, TX 75070",3.0,5.0,459900.0,3298.0,75070
308,"6108 River Highlands Dr, McKinney, TX 75070",3.5,3.0,540000.0,2763.0,75070
309,"9805 Pronghorn Rd, McKinney, TX 75071",2.0,3.0,285000.0,1408.0,75071
310,"2412 Eaton Dr, McKinney, TX 75072",3.5,4.0,449900.0,3319.0,75072
311,"5413 Buckland Dr, McKinney, TX 75070",2.0,3.0,312500.0,1745.0,75070
312,"1909 Freeport Dr, McKinney, TX 75072",2.0,3.0,275000.0,1787.0,75072
313,"10004 Coolidge Dr, McKinney, TX 75072",3.0,4.0,325000.0,2279.0,75072
314,"5420 Conch Train Rd, McKinney, TX 75070",2.5,2.0,255000.0,1944.0,75070
315,"5508 Conch Train Rd, McKinney, TX 75070",2.5,3.0,270000.0,1930.0,75070
316,"4913 Lasso Ln, McKinney, TX 75070",2.0,3.0,347000.0,2223.0,75070
317,"6100 Eldridge Ln, McKinney, TX 75070",3.0,5.0,489000.0,3214.0,75070
318,"6156 Silverado Trl, McKinney, TX 75070",2.5,2.0,273990.0,1514.0,75070
319,"9801 Coyote Pass Trl, McKinney, TX 75071",2.5,3.0,350000.0,2206.0,75071
320,"11500 Annabelle Dr, McKinney, TX 75071",3.5,4.0,400000.0,3010.0,75071
321,"3900 Iris Ct, McKinney, TX 75070",2.5,4.0,336000.0,2640.0,75070
322,"9744 Water Tree Dr, McKinney, TX 75072",2.0,3.0,339900.0,2253.0,75072
323,"7513 Beacon Hill Rd, McKinney, TX 75072",5.5,5.0,1999000.0,6980.0,75072
324,"5312 Mesquite Dr, McKinney, TX 75070",2.5,2.0,255000.0,1699.0,75070
325,"11709 Raeburn Ct, McKinney, TX 75071",4.0,6.0,505000.0,3938.0,75071
326,"9908 Beaver Dam Ln, McKinney, TX 75071",2.5,3.0,310000.0,2025.0,75071
327,"6209 Wildwood Dr, McKinney, TX 75072",3.5,4.0,615000.0,4022.0,75072
328,"3209 River Bend Dr, Hurst, TX 76054",2.5,4.0,440000.0,3049.0,76054
329,"512 Forest Meadow Dr, Colleyville, TX 76034",5.5,5.0,995000.0,4740.0,76034
330,"3708 Teal Ln, Bedford, TX 76021",2.0,3.0,275000.0,1652.0,76021
331,"3612 San Bar Ln, Colleyville, TX 76034",2.5,4.0,415000.0,2538.0,76034
332,"4701 Mill Xing W, Colleyville, TX 76034",3.5,3.0,509000.0,3476.0,76034
333,"204 Woodbine Dr, Colleyville, TX 76034",2.5,3.0,475000.0,2692.0,76034
334,"2302 Wilkes Ct, Colleyville, TX 76034",2.5,4.0,450000.0,2319.0,76034
335,"1116 Rhett Dr, Colleyville, TX 76034",2.5,3.0,499999.0,2347.0,76034
336,"4912 Bransford Rd, Colleyville, TX 76034",4.0,5.0,995000.0,5631.0,76034
337,"7304 Majestic Mnr, Colleyville, TX 76034",4.5,4.0,975000.0,5038.0,76034
338,"5849 Crescent Ln, Colleyville, TX 76034",3.5,5.0,615000.0,3903.0,76034
339,"2004 Tarrant Ln, Colleyville, TX 76034",3.0,4.0,549000.0,3273.0,76034
340,"7201 Monticello Pkwy, Colleyville, TX 76034",3.5,4.0,549900.0,3139.0,76034
341,"1300 Plantation Dr S, Colleyville, TX 76034",3.5,4.0,419000.0,2867.0,76034
342,"4806 Mill Brook Dr, Colleyville, TX 76034",3.5,4.0,600000.0,3654.0,76034
343,"1521 Tennison Pkwy, Colleyville, TX 76034",4.0,5.0,649900.0,4071.0,76034
344,"1141 Woodvale Dr, Bedford, TX 76021",2.5,3.0,359900.0,2253.0,76021
345,"6000 Sterling Dr, Colleyville, TX 76034",4.0,4.0,572400.0,4341.0,76034
346,"3137 Fox Run Dr, Grapevine, TX 76051",3.5,4.0,499900.0,3082.0,76051
347,"4004 Plantation Ct, Colleyville, TX 76034",3.0,4.0,549000.0,3223.0,76034
348,"2011 Kyle Ct, Colleyville, TX 76034",3.0,4.0,624900.0,3886.0,76034
349,"1501 Douglas Ave, Colleyville, TX 76034",3.5,4.0,575000.0,3342.0,76034
350,"7602 Jefferson Cir, Colleyville, TX 76034",3.0,4.0,579999.0,3192.0,76034
351,"298 Bandit Trl, Colleyville, TX 76034",3.5,6.0,850000.0,5566.0,76034
352,"3101 Eastonbury Ct, Colleyville, TX 76034",3.5,4.0,620000.0,3562.0,76034
353,"2703 San Jacinto Dr, Euless, TX 76039",4.5,5.0,579900.0,4119.0,76039
354,"3264 Shady Glen Dr, Grapevine, TX 76051",2.5,4.0,439000.0,2877.0,76051
355,"6111 Mustang Trl, Colleyville, TX 76034",5.5,5.0,980000.0,5231.0,76034
356,"805 Colleyville Ter, Colleyville, TX 76034",2.0,3.0,429900.0,1816.0,76034
357,"2102 Frances Dr, Colleyville, TX 76034",2.5,3.0,575000.0,2875.0,76034
358,"2304 Norwalk Dr, Colleyville, TX 76034",5.0,5.0,1000000.0,6020.0,76034
359,"1200 Woodvale Dr, Bedford, TX 76021",2.5,4.0,420000.0,2670.0,76021
360,"4017 Campania Ct, Colleyville, TX 76034",5.5,5.0,876773.0,4204.0,76034
361,"7312 Chanel Ct, Colleyville, TX 76034",5.0,5.0,1250000.0,5428.0,76034
362,"700 Colleyville Ter, Colleyville, TX 76034",4.5,4.0,1375000.0,4539.0,76034
363,"6304 Connie Ln, Colleyville, TX 76034",3.0,4.0,674000.0,3374.0,76034
364,"9117 Northampton Dr, North Richland Hills, TX 76182",3.5,4.0,675000.0,4112.0,76182
365,"4001 Felps Dr, Colleyville, TX 76034",2.0,2.0,365000.0,1000.0,76034
366,"4705 Lakeshore Ct, Colleyville, TX 76034",3.0,4.0,625000.0,3344.0,76034
367,"4025 Campania Ct, Colleyville, TX 76034",3.5,3.0,756479.0,3224.0,76034
368,"5830 Crescent Ln, Colleyville, TX 76034",2.0,3.0,485000.0,2535.0,76034
369,"258 Lyndsie Dr, Coppell, TX 75019",3.5,4.0,622900.0,3617.0,75019
370,"300 Ridgewood Dr, Lewisville, TX 75067",3.5,4.0,505000.0,2827.0,75067
371,"523 Loxley Dr, Coppell, TX 75019",2.5,4.0,559900.0,3113.0,75019
372,"136 Wrenwood Dr, Coppell, TX 75019",2.5,3.0,430000.0,2222.0,75019
373,"760 Sparrow Ln, Coppell, TX 75019",2.0,3.0,350000.0,1620.0,75019
374,"404 Spyglass Dr, Coppell, TX 75019",3.0,4.0,595000.0,2828.0,75019
375,"108 High Ridge Ln, Lewisville, TX 75067",2.5,3.0,444000.0,2306.0,75067
376,"229 Tanbark Cir, Coppell, TX 75019",2.0,3.0,349900.0,1867.0,75019
377,"306 Parkwood Ln, Coppell, TX 75019",2.0,3.0,359000.0,1958.0,75019
378,"800 Ashford Dr, Coppell, TX 75019",2.5,3.0,349999.0,2100.0,75019
379,"716 Falcon Ln, Coppell, TX 75019",2.5,3.0,530000.0,2648.0,75019
380,"516 Heath Ln, Coppell, TX 75019",3.0,4.0,428000.0,1882.0,75019
381,"137 S Heartz Rd, Coppell, TX 75019",2.0,3.0,285000.0,1533.0,75019
382,"316 Dakota Ln, Coppell, TX 75019",2.5,4.0,479000.0,3030.0,75019
383,"409 Leisure Ln, Coppell, TX 75019",2.5,3.0,307000.0,1661.0,75019
384,"600 Mockingbird Ln, Coppell, TX 75019",3.5,2.0,599000.0,10600.0,75019
385,"305 Phillips Dr, Coppell, TX 75019",2.0,3.0,355000.0,1958.0,75019
386,"132 Trinity Ct, Coppell, TX 75019",3.0,4.0,625000.0,3967.0,75019
