Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"1201 Durango Pl, Flower Mound, TX 75028",Flower Mound,2.5,4,466000,2557,75028
"3908 Churchill Dr, Flower Mound, TX 75028",Flower Mound,2,3,340000,1700,75028
"4205 Zachary Way, Flower Mound, TX 75028",Flower Mound,3.5,4,550000,3260,75028
"1824 Hill Rdg, Flower Mound, TX 75028",Flower Mound,3,4,489000,3383,75028
"3716 Ping Dr, Flower Mound, TX 75028",Flower Mound,3,3,535000,3047,75028
"2308 Bella Lago Dr, Flower Mound, TX 75022",Flower Mound,3.5,4,1250000,4997,75022
"1537 Twistleaf Rd, Flower Mound, TX 76226",Flower Mound,3,4,500000,2568,76226
"6405 Eagle Creek Dr, Flower Mound, TX 75028",Flower Mound,2,3,375000,2312,75028
"6401 Red Bud Dr, Flower Mound, TX 75022",Flower Mound,2.5,4,2500000,3271,75022
"5617 Sunnyside Dr, Flower Mound, TX 75028",Flower Mound,4,4,599000,3447,75028
"4015 Ridgecrest Dr, Flower Mound, TX 75022",Flower Mound,2.5,3,559500,2787,75022
"5901 Rue Jordan, Flower Mound, TX 75022",Flower Mound,2,2,695000,1000,75022
"1408 San Jacinto Dr, Flower Mound, TX 75028",Flower Mound,4.5,5,585000,4238,75028
"3613 Lofty Pines Ln, Flower Mound, TX 75028",Flower Mound,2.5,4,479900,2906,75028
"5809 Sandstone Ct, Flower Mound, TX 75022",Flower Mound,6,4,2000000,5724,75022
"2012 La Salle, Flower Mound, TX 75022",Flower Mound,2,2,499000,1000,75022
"4140 1 Place Ln, Flower Mound, TX 75028",Flower Mound,3,3,269000,1739,75028
"2249 Red Maple Rd, Flower Mound, TX 75022",Flower Mound,2.5,4,385000,2338,75022
"2717 Huntly Ln, Flower Mound, TX 75022",Flower Mound,3.5,4,598000,3526,75022
"Scenic Dr, Flower Mound, TX 75022",Flower Mound,2,2,1950000,1000,75022
"1113 Wood Creek Cir, Flower Mound, TX 75028",Flower Mound,2,4,367000,2174,75028
